Cohort,Segment,StartingGBV,PQ_Coll_Rate,PQ_Revenue_Rate,PQ_Principal_Rate,PQ_Interest_Rate,Actual_Coll_Rate,Actual_Revenue_Rate,Actual_Principal_Rate,Actual_Interest_Rate
202503,NRP-L,83860.81,-0.0219350837613385,0.0178243636566151,-0.0098323304851828,-0.0121027532761556,-0.03776407286891997,0.016124604770127716,-0.02239809996138407,-0.0153659729075359
202503,NRP-M,6162266.5200000005,-0.0406535860669589,0.0168296385885087,-0.0233003166102253,-0.0173532694567335,-0.03941452104084569,0.017386804105050432,-0.022549297337169746,-0.016865223703675943
202503,NRP-S,2647482.4199999995,-0.0704807672942974,0.0213043809831144,-0.0483299931613689,-0.0221507741329285,-0.06693425078135963,0.02174433232140201,-0.04567302460085845,-0.021261226180501174
202504,NON PRIME,9246422.14,-0.0940566271908344,0.0356338912627711,-0.053667037,-0.0403895901908344,-0.09317515927460043,0.04347210944577046,-0.05632020057832454,-0.0368549586962759
202504,NRP-L,62697.2,-0.0294121198317093,0.0166366017843202,-0.012689719,-0.0167224008317093,-0.044895778396978774,0.017247724679455366,-0.030093822668188882,-0.014801955728789892
202504,NRP-M,7795952.799999999,-0.037893025467127,0.0164275860246004,-0.020201579,-0.017691446467127,-0.040830288854781904,0.018956565317425133,-0.024339664752763564,-0.01649062410201834
202504,NRP-S,2373847.23,-0.0817899270920808,0.020487502908049,-0.0586818699999999,-0.0231080570920808,-0.07007194050050895,0.02402288610230376,-0.04889448511567395,-0.02117745538483501
202504,PRIME,4661.92,-0.0104333889673843,0.011135166842726,0.0,-0.0104333889673843,-0.022682956967497843,0.012474088156922582,-0.012164914941474996,-0.010518042026022847
202505,NON PRIME,9953254.19,-0.0811252896222317,0.0343489874306925,-0.046759157,-0.0343661326222317,-0.09018287069125229,0.04473903430044396,-0.05389085006751442,-0.036292020623737875
202505,NRP-L,16425.98,-0.0276469224596546,0.0157966823854198,-0.0119223044484732,-0.0157246180111814,-0.048875547405900346,0.01767958246896449,-0.03387723453363063,-0.01499831287226972
202505,NRP-M,7268939.299999999,-0.0441,0.016636899719721,-0.0275,-0.0166,-0.04293536636434124,0.019462083399575933,-0.026797978209958776,-0.01613738815438247
202505,NRP-S,2437021.07,-0.0711,0.0204843399464785,-0.0495,-0.0216,-0.06717889305576416,0.023973867427647927,-0.046947828711509,-0.020231064344255163
202506,NON PRIME,10973736.760000002,-0.0799961741615328,0.035520772510527,-0.045271982,-0.0347241921615328,-0.09358381296352462,0.05004200279401342,-0.0556179129255453,-0.03796590003797932
202506,NRP-L,29971.3,-0.029805251666349,0.0158719014754618,-0.0130633847686492,-0.0167418668976997,-0.03201383992622859,0.020101409793688754,-0.016999589493006177,-0.015014250433222413
202506,NRP-M,7085059.32,-0.0364,0.0167330498622469,-0.0201,-0.0163,-0.04393069372407598,0.02263721551049546,-0.026504650275208978,-0.017426043448866994
202506,NRP-S,2767480.41,-0.0765,0.0206818517867955,-0.0537999999999999,-0.0227,-0.07519267909600313,0.02849486824261963,-0.05283470301915878,-0.022357976076844352
202507,NON PRIME,13508660.829999998,-0.0846,0.0377833333333333,-0.0436,-0.041,-0.09696589198662928,0.05754448422066175,-0.06354819618927232,-0.033417695797356956
202507,NRP-L,114199.52,-0.03,0.01685,-0.0115,-0.0185,-0.036245862506723896,0.021392595423002838,-0.024714030902046647,-0.011531831604677245
202507,NRP-M,8680064.72,-0.0335,0.0155583333333333,-0.0163,-0.0172,-0.03127534718653434,0.024053589397023217,-0.01889401968726768,-0.012381327499266665
202507,NRP-S,3125154.64,-0.0637,0.0212333333333333,-0.0398,-0.0239,-0.06037062321459981,0.03112564155285092,-0.04297004264855073,-0.01740058056604909
202507,PRIME,9843.27,-0.0233,0.0113,-0.0117,-0.0116,-0.022971421654374956,0.019223879880261266,-0.014799659873732588,-0.00817176178064237
202508,NON PRIME,10582346.66,-0.0819,0.0379333333333333,-0.0491,-0.0328,-0.2,0.1,-0.2,-0.10610992855376782
