Cohort,Segment,Actual_Coll_Rate,Actual_Revenue_Rate,Actual_Principal_Rate,Actual_Interest_Rate,OpeningGBV
202412,NRP-M,-0.0471608536865895,0.01719539678599245,-0.030000551900706603,-0.01716030178588285,2576182.94
202412,NRP-S,-0.07184507341646133,0.019967093240878298,-0.05142106315197936,-0.020424010264481884,2110228.263333333
202501,NON PRIME,-0.0915897493762957,0.03277573062750536,-0.058668159178503786,-0.03292159019779187,7158882.895
202501,NRP-L,-0.0427980802846832,0.0166487264151431,-0.026385788743980815,-0.016412291540702367,1604656.0599999998
202501,NRP-M,-0.04562634115678213,0.017251126963910148,-0.028316028107825283,-0.017310313048956784,4312438.821666666
202501,NRP-S,-0.0694347679913029,0.020345344690014616,-0.04877844088641497,-0.020656327104887882,3110722.4633333334
202502,NON PRIME,-0.09062946592853365,0.03500940844243786,-0.055481283449902684,-0.0351481824786309,8719219.181666667
202502,NRP-L,-0.04239474198550666,0.016304400226825683,-0.025623897302627683,-0.0167708446828789,1938086.1033333335
202502,NRP-M,-0.0499847430858115,0.018052365969691,-0.03171258018634713,-0.0182721628994643,4241107.806666667
202502,NRP-S,-0.07049732923952817,0.021295506999334135,-0.04897344028334607,-0.02152388895618203,3263132.0066666664
202503,NON PRIME,-0.0893820398650685,0.03739729279829308,-0.053646671674145614,-0.035735368190922816,9377375.513333334
202503,NRP-L,-0.037383878328082334,0.016073322673276897,-0.02186806455931978,-0.0155158137687625,2200250.5233333334
202503,NRP-M,-0.03979011381605654,0.017303222690158167,-0.022828728611798754,-0.0169613852042577,4618828.626666667
202503,NRP-S,-0.0672456435406328,0.02159797480983255,-0.04582522537760602,-0.021420418163026752,3159731.8683333336
202504,NON PRIME,-0.17936219465278994,0.10404312695760905,-0.1330039911587425,-0.046358203494047366,9219689.463333333
202504,NRP-L,-0.053734811079209,0.0246771771444162,-0.03937940995975442,-0.014355401119454533,2385953.356666667
202504,NRP-M,-0.045708943727341,0.025251553984969,-0.029482261866329882,-0.01622668186101105,4938449.346666667
202504,NRP-S,-0.09154044682965873,0.032446718460234086,-0.06967442990127266,-0.021866016928386,2380200.6933333334
202504,PRIME,-0.02283251383417262,inf,-0.01233494932034374,-0.01049756451382884,4037.896666666667
202505,NON PRIME,-0.21078574961650096,0.13469056442399124,-0.16043460268282517,-0.05035114693367574,9039005.654
202505,NRP-L,-0.11183727282512343,0.07728935923319286,-0.09115079820349732,-0.02068647462162604,2370867.1440000003
202505,NRP-M,-0.12045103992064816,0.06518559070315254,-0.09974388992969549,-0.02070714999095264,3916348.9359999998
202505,NRP-S,-0.13071664844559464,0.06962812655521831,-0.1046075771698303,-0.0261090712757643,2218561.8060000003
202506,NON PRIME,-54.26563459767023,44.39599404479582,-43.08935390798843,-11.176280689681798,8989566.3925
202506,NRP-L,-inf,inf,-inf,-inf,2140599.255
202506,NRP-M,-inf,inf,-inf,-inf,3409173.7375
202506,NRP-S,-inf,inf,-inf,-inf,2301627.71
202507,NON PRIME,-0.29877354060883776,0.20503548528190238,-0.23508444056431932,-0.0636891000445184,9788186.799999999
202507,NRP-L,-0.13176013292255234,0.10233917890594653,-0.11024539172700866,-0.02151474119554363,2352461.3533333335
202507,NRP-M,-0.10297719530103326,0.15432139414931992,-0.0732827588738131,-0.0296944364272201,3716301.096666666
202507,NRP-S,-0.19271607080870412,0.11923127908922632,-0.16246662114898477,-0.030249449659719332,2239203.393333333
202507,PRIME,-0.0231055991453652,inf,-0.0132434011051689,-0.0098621980401962,6680.28
202508,NON PRIME,-0.3445716650931534,0.26990577664776166,-0.2751195385358132,-0.06945212655734015,5782476.07
202508,NRP-L,-0.23997162798948146,0.1381771314115074,-0.21759005600017425,-0.02238157198930715,1492000.69
202508,NRP-M,-0.2311160082841051,0.12576476443725515,-0.2046679410602706,-0.0264480672238344,2497584.205
202508,NRP-S,-0.2510075360397616,0.18331839233534614,-0.2074306916866542,-0.0435768443531074,1751585.35
202508,PRIME,-0.011544895726366,inf,-0.0076219730242098,-0.0039229227021562,15030.885
202509,NON PRIME,-0.4962991889475378,0.4513425517365411,-0.410895337683323,-0.0854038512642147,503651.76
202509,NRP-L,-0.4198902953311364,0.2849358177919025,-0.3631623067937227,-0.0567279885374136,104283.62
202509,NRP-M,-0.2601982766078634,0.1472238418154,-0.2350112690833062,-0.0251870075245571,319955.04000000004
202509,NRP-S,-0.2942164580352159,0.1830852408742415,-0.2566662092305445,-0.0375502488046714,216860.88
