CalendarMonth,Segment,Cohort,MOB,OpeningGBV,Coll_Principal,Coll_Interest,InterestRevenue,WO_DebtSold,WO_Other,ClosingGBV_Reported,Provision_Balance,Coll_Principal_Rate,Coll_Interest_Rate,InterestRevenue_Rate_Annual,WO_DebtSold_Rate,WO_Other_Rate,Coverage_Ratio,GBV_Runoff_Rate,DataType
2020-07-31,NRP-S,202001,5,3334623.43,-190235.29,-50338.99,50260.94901700001,0.0,0.0,3144953.74,0.0,-0.05704850757316247,-0.01509585446654167,0.1774659580232645,0.0,0.0,0.0,0.05687889321883639,Actual
2020-07-31,NRP-S,202001,6,4574412.99,-228302.71,-69165.73,70243.211381,0.0,0.0,4347099.78,0.0,-0.04990863538099563,-0.01512013238664749,0.1808007208942805,0.0,0.0,0.0,0.04969232347339936,Actual
2020-08-31,NON PRIME,201912,8,91466248.21000001,-3550874.14,-1921832.74,2722440.033401,0.0,11664.18,87655206.8,0.0,-0.03882168788477522,-0.0210113870155427,0.3504520684345319,0.0,0.0001275244172388034,0.0,0.04166609524914733,Actual
2020-08-31,NON PRIME,202001,0,0.0,-232020.87,-3353.17,165725.336782,0.0,0.0,7232835.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Actual
2020-08-31,NON PRIME,202001,1,6486579.87,-302674.98,-221025.48,265471.678222,0.0,14.68,6230804.35,0.0,-0.04666172097870121,-0.03407427094549904,0.481874112960081,0.0,2.263134085173918e-06,0.0,0.03943149165293489,Actual
2020-08-31,NON PRIME,202001,2,1695530.35,-67384.75,-46363.2,69691.53137000001,0.0,0.0,1651575.08,0.0,-0.0397425796595148,-0.02734436455236558,0.4839557009603934,0.0,0.0,0.0,0.02592420123886299,Actual
2020-08-31,NON PRIME,202001,3,157593.33,-5489.28,-5364.32,6587.930504000001,0.0,0.0,153372.84,0.0,-0.03483193102144615,-0.03403900406191049,0.4922008364022726,0.0,0.0,0.0,0.02678089231314543,Actual
2020-08-31,NON PRIME,202001,5,6472250.98,-273316.17,-180968.37,245705.376741,0.0,56.43,6254901.75,0.0,-0.04222892017701081,-0.02796065396091918,0.4469824595133212,0.0,8.718759543530557e-06,0.0,0.03358170606665806,Actual
2020-08-31,NON PRIME,202001,6,5327974.52,-264027.47,-166689.27,204580.907863,0.0,48.56999999999999,5021753.74,0.0,-0.04955494231605297,-0.0312856732655696,0.4520996105446296,0.0,9.116034586441677e-06,0.0,0.05747414497770521,Actual
2020-08-31,NON PRIME,202001,7,7975402.05,-367680.6299999999,-227864.93,300930.146643,0.0,85.09,7522066.590000001,0.0,-0.04610183006385239,-0.0285709646449736,0.4442672317841573,0.0,1.066905460897736e-05,0.0,0.05684170618081869,Actual
2020-08-31,NRP-M,202001,5,187528.56,-611.56,-481.5,2233.016173,0.0,0.0,188668.52,0.0,-0.003261156593960941,-0.002567608901812076,0.140202455655718,0.0,0.0,0.0,-0.006078860734599529,Actual
2020-08-31,NRP-S,201912,8,30529290.07,-1377409.94,-370550.72,466238.212687,0.0,913.9,29219379.18,0.0,-0.04511765379547851,-0.01213754788107983,0.17981351493087,0.0,2.993518676341759e-05,0.0,0.04290669344084098,Actual
2020-08-31,NRP-S,202001,0,0.0,0.0,0.0,79.387419,0.0,0.0,28205.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Actual
2020-08-31,NRP-S,202001,5,2253937.82,-91030.03,-30186.39,33724.560221,0.0,0.0,2166655.54,0.0,-0.04038710792829237,-0.01339273414383721,0.1761714524033721,0.0,0.0,0.0,0.03872435132216726,Actual
2020-08-31,NRP-S,202001,6,3144953.74,-154796.73,-43881.39,46623.306221,0.0,0.0,2992396.959999999,0.0,-0.04922066993583186,-0.01395295245264879,0.1745500496016117,0.0,0.0,0.0,0.04850843370433828,Actual
2020-08-31,NRP-S,202001,7,4347099.78,-229489.77,-56722.29000000001,65139.822287,0.0,173.51,4122462.11,0.0,-0.05279146594606117,-0.01304830642741769,0.1764323144463635,0.0,3.991396765224468e-05,0.0,0.0516752964892838,Actual
