ForecastMonth,Segment,Cohort,MOB,OpeningGBV,Coll_Principal,Coll_Interest,Coll_Rate,Coll_P_Approach,Coll_I_Approach,ScenB_Revenue,ScenB_Rev_Rate,ScenA_Revenue,ScenA_Rev_Rate
2025-10-31,NRP-L,202407,15,471704.42,-19033.5,-7131.14,-0.0554682951667063,CohortTrend,CohortAvg,6875.44,0.01457573791655376,6577.317189077458,0.01394372600765
2025-10-31,NRP-L,202407,15,471704.42,-19033.5,-7131.14,-0.0554682951667063,CohortTrend,CohortAvg,6875.44,0.01457573791655376,6582.603202386872,0.0139549322060346
2025-10-31,NRP-L,202408,14,570319.56,-19041.05,-8856.29,-0.04891527830467536,CohortTrend,CohortAvg,8643.67,0.015155836492790111,8717.401304607716,0.0152851171799328
2025-10-31,NRP-L,202408,14,570319.56,-19041.05,-8856.29,-0.04891527830467536,CohortTrend,CohortAvg,8643.67,0.015155836492790111,8685.678993839667,0.0152294951865927
2025-10-31,NRP-L,202408,14,570319.56,-19041.05,-8856.29,-0.04891527830467536,CohortTrend,CohortAvg,8643.67,0.015155836492790111,8685.475769924808,0.0152291388531805
2025-10-31,NRP-L,202408,14,570319.56,-19041.05,-8856.29,-0.04891527830467536,CohortTrend,CohortAvg,8643.67,0.015155836492790111,8686.727764985435,0.0152313341050155
2025-10-31,NRP-L,202409,13,604094.49,-11441.13,-9436.75,-0.034560619812969984,CohortTrend,CohortAvg,9173.06,0.015184809912767123,9197.97618137056,0.0152260554162157
2025-10-31,NRP-L,202409,13,604094.49,-11441.13,-9436.75,-0.034560619812969984,CohortTrend,CohortAvg,9173.06,0.015184809912767123,9020.026863130539,0.0149314834226191
2025-10-31,NRP-L,202409,13,604094.49,-11441.13,-9436.75,-0.034560619812969984,CohortTrend,CohortAvg,9173.06,0.015184809912767123,9050.801828502697,0.0149824273823499
2025-10-31,NRP-L,202409,13,604094.49,-11441.13,-9436.75,-0.034560619812969984,CohortTrend,CohortAvg,9173.06,0.015184809912767123,9075.737692025607,0.0150237054670464
2025-10-31,NRP-L,202410,12,463335.09,-6298.99,-6255.81,-0.027096587914375313,DonorCohort:202405,DonorCohort:202405,6867.36,0.014821584093706349,7537.15706668177,0.0162671837927962
2025-10-31,NRP-L,202410,12,463335.09,-6298.99,-6255.81,-0.027096587914375313,DonorCohort:202405,DonorCohort:202405,6867.36,0.014821584093706349,7241.1049176467295,0.0156282247425869
2025-10-31,NRP-L,202410,12,463335.09,-6298.99,-6255.81,-0.027096587914375313,DonorCohort:202405,DonorCohort:202405,6867.36,0.014821584093706349,7224.306692765854,0.0155919697184296
2025-10-31,NRP-L,202410,12,463335.09,-6298.99,-6255.81,-0.027096587914375313,DonorCohort:202405,DonorCohort:202405,6867.36,0.014821584093706349,7223.444982710447,0.0155901099196058
2025-10-31,NRP-L,202411,11,587145.59,-11180.01,-9223.79,-0.034750835819102384,DonorCohort:202405,DonorCohort:202405,8868.83,0.015104992954132552,8296.276910033986,0.0141298462448368
2025-10-31,NRP-L,202411,11,587145.59,-11180.01,-9223.79,-0.034750835819102384,DonorCohort:202405,DonorCohort:202405,8868.83,0.015104992954132552,8296.708344909206,0.0141305810453404
2025-10-31,NRP-L,202411,11,587145.59,-11180.01,-9223.79,-0.034750835819102384,DonorCohort:202405,DonorCohort:202405,8868.83,0.015104992954132552,8353.916658137154,0.0142280156751874
2025-10-31,NRP-L,202411,11,587145.59,-11180.01,-9223.79,-0.034750835819102384,DonorCohort:202405,DonorCohort:202405,8868.83,0.015104992954132552,8385.07660273928,0.0142810858934311
2025-10-31,NRP-L,202412,10,52967.3,-2131.15,-730.4,-0.05402484174198043,DonorCohort:202405,DonorCohort:202405,812.06,0.015331345943629369,655.9467427946604,0.0123839943284755
2025-10-31,NRP-L,202412,10,52967.3,-2131.15,-730.4,-0.05402484174198043,DonorCohort:202405,DonorCohort:202405,812.06,0.015331345943629369,558.5061511137994,0.0105443575774827
2025-10-31,NRP-L,202412,10,52967.3,-2131.15,-730.4,-0.05402484174198043,DonorCohort:202405,DonorCohort:202405,812.06,0.015331345943629369,582.3813010779139,0.0109951102109776
2025-10-31,NRP-L,202412,10,52967.3,-2131.15,-730.4,-0.05402484174198043,DonorCohort:202405,DonorCohort:202405,812.06,0.015331345943629369,596.3907963848543,0.0112596034984765
2025-10-31,NRP-L,202501,9,60436.42,-717.03,-892.06,-0.02662450886402603,DonorCohort:202405,DonorCohort:202405,958.41,0.015858153080543155,1035.5203833947332,0.0171340457193648
2025-10-31,NRP-L,202501,9,60436.42,-717.03,-892.06,-0.02662450886402603,DonorCohort:202405,DonorCohort:202405,958.41,0.015858153080543155,1029.611893576146,0.0170362819898357
2025-10-31,NRP-L,202501,9,60436.42,-717.03,-892.06,-0.02662450886402603,DonorCohort:202405,DonorCohort:202405,958.41,0.015858153080543155,1029.3412693617868,0.0170318041565299
2025-10-31,NRP-L,202501,9,60436.42,-717.03,-892.06,-0.02662450886402603,DonorCohort:202405,DonorCohort:202405,958.41,0.015858153080543155,1029.2819723628425,0.0170308230097488
