calendarmonth,openinggbv,principalcollections,interestcollections,interestrevenue,total_coll,coll_rate,rev_rate
202003,197087513.26,-11537876.72,-6528412.51,6487330.416401,-18066289.23,-0.09166633101797148,0.03291598898933208
202004,194572729.23,-8257124.34,-5007988.13,5916062.316386,-13265112.469999999,-0.0681755995431385,0.030405403366639102
202005,186625379.82,-7547217.23,-3720043.15,5665015.164477,-11267260.38,-0.06037367688610876,0.030355009430876455
202006,180585682.48,-10001578.23,-4983007.53,4908409.58361,-14984585.760000002,-0.08297770650593829,0.027180502441845635
202007,163078744.13,-8420147.280000001,-4089981.57,4790671.098576,-12510128.850000001,-0.07671219763642168,0.029376428694821592
202008,160044389.28,-6916806.32,-3275283.77,4595171.246534,-10192090.09,-0.06368289532580107,0.02871185467485949
202009,161172864.37,-9832839.66,-4915594.93,4444694.293334,-14748434.59,-0.09150693355019388,0.0275771874546477
202010,158133855.83,-7448369.43,-3328976.1999999997,4230379.526344,-10777345.629999999,-0.06815330957076049,0.026751890062630367
202011,142588841.45,-9023894.35,-4293400.28,4003006.974785,-13317294.629999999,-0.09339647124259597,0.02807377445582717
202012,139800764.35,-7685086.88,-3412958.16,4038389.252323,-11098045.04,-0.07938472362150571,0.028886746586110495
202101,138873673.88,-6899981.350000001,-2975187.37,3865586.676054,-9875168.72,-0.07110900463779105,0.027835273367897165
202102,140018548.09,-7105036.23,-2936885.8,3595095.5963459997,-10041922.030000001,-0.07171851277550267,0.025675852559442144
202103,140140695.63,-10111026.72,-4355255.96,3854705.845865,-14466282.68,-0.10322685080851843,0.027505970542933578
202104,142789455.3,-8314912.07,-3481606.92,3582742.824328,-11796518.99,-0.08261477687701495,0.02509108825158464
202105,141962799.67,-7575785.75,-2924824.43,3745330.83662,-10500610.18,-0.07396733654456816,0.026382480800084384
202106,152289823.8,-10227102.67,-4104494.62,3706107.545692,-14331597.29,-0.09410738637941742,0.024335884389486043
202107,156917908.66,-8523533.32,-3261611.14,3832025.021237,-11785144.46,-0.07510388432167626,0.024420571583961104
202108,164961322.0,-9887031.4,-3990490.0,3879783.867436,-13877521.4,-0.08412591043614455,0.023519354842682458
202109,173786028.07,-9981724.1,-3659529.4,4022420.400607,-13641253.5,-0.07849453521375943,0.023145821590368546
202110,180679326.15,-9529129.73,-3437715.01,4316558.251794,-12966844.74,-0.07176717456448185,0.023890714802701846
