Cohort,Segment,CalendarMonth,OpeningGBV,Coll_Principal,Coll_Interest,InterestRevenue,ClosingGBV,Actual_Coll_Rate,Actual_Revenue_Rate,Actual_Principal_Rate,Actual_Interest_Rate
202202,NRP-M,202204,3768819.0100000002,-119396.48,-52092.880000000005,52254.79111,3650182.73,-0.045502147899641375,0.013865030655849932,-0.03168007794569047,-0.013822069953950907
202202,NRP-M,202205,3650182.73,-81253.48000000001,-50705.08,52179.019097000004,3570511.79,-0.0361512202979493,0.014294906024334843,-0.02226011298891878,-0.013891107309030527
202202,NRP-M,202206,3570511.79,-111047.76000000001,-46900.95999999999,49435.165874,3461677.2199999997,-0.04423699718409276,0.013845400542424759,-0.031101356480887018,-0.013135640703205742
202202,NRP-M,202207,3461677.22,-88840.76,-43223.68,49083.403646000006,3370325.13,-0.03815042004407332,0.014179081562665164,-0.025664079679849523,-0.01248634036422379
202202,NRP-M,202208,3364807.94,-95399.75,-46075.71,47030.48841399999,3268399.29,-0.04204562712723508,0.013977168757513094,-0.028352212578290577,-0.013693414548944509
202202,NRP-M,202209,3268399.29,-88895.0,-42072.48,44881.528228,3169124.8000000003,-0.0400708323492507,0.013731959973593067,-0.027198329246975208,-0.012872503102275489
202202,NRP-M,202210,3136581.5199999996,-92194.97,-41293.76,44272.065243,3044735.72,-0.04255866750117179,0.014114750393288042,-0.029393455713531084,-0.013165211787640707
202202,NRP-M,202211,3044735.72,-92769.31000000001,-37210.68,41645.381169,2953578.44,-0.04269007294991107,0.013677831181026114,-0.03046875608632463,-0.01222131686358644
202202,NRP-M,202212,2953578.44,-105128.37,-36195.17,41072.457749,2830916.44,-0.04784824336678188,0.013905998632966729,-0.03559355951961784,-0.012254683847164051
202202,NRP-M,202301,2830916.44,-100099.54999999999,-38508.5,38943.313494,2720108.0,-0.04896225407486771,0.013756433409246089,-0.03535941527119041,-0.013602838803677299
202202,NRP-M,202302,2720108.0,-98688.85,-33316.69,35783.946998,2620041.39,-0.0485295216219356,0.013155340522508665,-0.036281224863130436,-0.012248296758805167
202202,NRP-M,202303,2620239.9099999997,-103030.11,-31321.879999999997,36247.205231,2437833.7,-0.05127469033932851,0.013833544437158047,-0.039320868904710336,-0.011953821434618176
202202,NRP-M,202304,2437833.7,-72589.35,-29818.260000000002,32702.206301,2355060.3400000003,-0.04200762750962053,0.013414453291461183,-0.029776169719862352,-0.012231457789758177
202202,NRP-M,202305,2355060.34,-97293.53,-29705.2,31703.367238000003,2204212.73,-0.05392589219178987,0.013461806773919009,-0.0413125423359641,-0.012613349855825776
202202,NRP-M,202306,2204212.73,-88112.52,-25846.780000000002,27945.861947,1998664.92,-0.051700681358463986,0.012678386966307013,-0.03997459900342741,-0.011726082355036577
202202,NRP-M,202307,1998664.9200000002,-67022.19,-25907.75,27558.176306,1930737.28,-0.0464960079451437,0.013788292389701822,-0.03353347993919861,-0.012962528005945087
202202,NRP-M,202308,1930737.2799999998,-85703.66,-23624.03,25051.399840000002,1752017.8699999999,-0.05662484022683812,0.012975043316095293,-0.044389084360560965,-0.012235755866277157
202202,NRP-M,202309,1715146.8399999999,-85386.69,-20425.9,22385.252996000003,1585843.3599999999,-0.061693020989386546,0.013051508170577398,-0.049783894887973565,-0.011909126101412986
202202,NRP-M,202310,1585843.3599999999,-73356.57,-23166.2,21812.986277,1510068.91,-0.06086526099273765,0.01375481767442656,-0.04625713475257734,-0.014608126240160316
202202,NRP-M,202311,1510068.91,-72471.16,-18360.93,20097.468003,1437663.03,-0.06015095695202413,0.013308974093771657,-0.04799195554592274,-0.012159001406101395
202202,NRP-M,202312,1437263.1300000001,-65765.06,-16969.15,18693.82587,1285187.67,-0.05756371834293139,0.013006543812196725,-0.04575714677937922,-0.01180657156355218
202202,NRP-M,202401,1285187.67,-78318.13,-18245.36,17411.113415,1205156.0,-0.07513571150274108,0.013547526031742897,-0.06093906114116393,-0.014196650361577155
202202,NRP-M,202402,1205156.0,-65605.09,-16026.92,15924.325809999998,1126257.97,-0.06773563754401919,0.013213497514014782,-0.054437010644265135,-0.013298626899754057
202202,NRP-M,202403,1126241.24,-47879.02,-13700.660000000002,15214.273197,1020305.98,-0.05467716667878367,0.013508893704691546,-0.04251222411283749,-0.012164942565946175
