ForecastMonth,Cohort,Segment,OpeningGBV,Coll_Principal,Coll_Interest,InterestRevenue,PQ_Revenue_Rate,v32_Revenue_Rate,ScenA_Revenue,ScenB_Revenue
2025-10-31,202507,NRP-S,3125154.64,-151151.92,0.0,64918.12,0.0212333333333333,0.02077277046360816,66357.45018933323,64918.12
2025-10-31,202507,PRIME,9843.27,-167.34,-102.81,99.38,0.0113,0.010096238343558593,111.228951,99.38
2025-10-31,202508,NON PRIME,10582346.66,-486191.08,-440251.2,376350.14,0.0379333333333333,0.03556395874107568,401423.6833026663,376350.14
2025-10-31,202508,NRP-L,46868.77,-583.66,-775.63,744.35,0.0153166666666666,0.015881577434184856,717.8733271666634,744.35
2025-10-31,202508,NRP-M,7533596.42,-150173.96,-132152.87,128909.35,0.01575,0.017111263042678362,118654.143615,128909.35
2025-10-31,202508,NRP-S,3257214.86,-126018.05,0.0,68544.38,0.0205083333333333,0.021043861994415686,66800.04808716655,68544.38
2025-10-31,202508,PRIME,30052.62,-454.37,-356.67,303.48,0.0112416666666666,0.010098287603543386,337.84153649999797,303.48
2025-10-31,202509,NON PRIME,11481431.49,-620697.47,-277255.36,473822.78,0.0379333333333333,0.041268615364964394,435528.9678539996,473822.78
2025-10-31,202509,NRP-L,15353.37,-171.34,-183.34,250.13,0.0153166666666666,0.016291537297674713,235.16245049999898,250.13
2025-10-31,202509,NRP-M,8727304.43,-163554.74,-128856.58,150538.07,0.01575,0.017249091195046123,137455.0447725,150538.07
2025-10-31,202509,NRP-S,3314123.22,-128433.77,0.0,70759.67,0.0205083333333333,0.021350947234846627,67967.1437034999,70759.67
2025-10-31,202509,PRIME,24414.84,0.0,0.0,252.41,0.0112416666666666,0.010338384359676328,274.4634929999984,252.41
2025-11-30,201912,NON PRIME,368558.38,13443.75,4271.8,0.0,0.0,0.0,0.0,0.0
2025-11-30,201912,NRP-S,60080.51,-546.46,0.0,0.0,0.0083333333333333,0.0,500.6709166666647,0.0
2025-11-30,202001,NON PRIME,94356.86,3229.21,896.32,0.0,0.0083333333333333,0.0,786.3071666666635,0.0
2025-11-30,202001,NRP-S,3345.39,-1301.28,0.0,0.0,0.0083333333333333,0.0,27.878249999999888,0.0
2025-11-30,202101,NON PRIME,823821.93,-2066.68,4361.2,0.0,0.0083333333333333,0.0,6865.182749999974,0.0
2025-11-30,202101,NRP-M,2657585.79,-391363.33,-29242.93,26604.61,0.010208119025845,0.010010818879340862,27128.952065714315,26604.61
2025-11-30,202101,NRP-S,2027515.89,-226452.99,0.0,20067.35,0.0106469523176989,0.009897505661472275,21586.865004206848,20067.35
2025-11-30,202101,PRIME,3087112.34,-365483.87,-25991.93,23318.27,0.0083333333333333,0.007553424505439281,25725.936166666565,23318.27
2025-11-30,202201,NON PRIME,1152585.01,-129277.57,-14059.45,9959.39,0.01019598375111,0.008640915779392272,11751.738033732956,9959.39
2025-11-30,202201,NRP-M,180391.02,-13892.29,-2210.42,2203.46,0.0112614565789034,0.012214909589180216,2031.4656389540949,2203.46
2025-11-30,202201,NRP-S,432444.03,-38433.38,0.0,4247.41,0.0098161062560049,0.009821872208526037,4244.916548254971,4247.41
2025-11-30,202201,PRIME,106836.57,-8365.04,-1012.97,928.21,0.0089101128641964,0.008688129916563214,951.9258967236192,928.21
2025-11-30,202301,NON PRIME,6621323.0,-550863.49,-107624.47,98057.03,0.0154482859353957,0.014809280562207885,102288.09097461206,98057.03
2025-11-30,202301,NRP-L,1122875.04,-31561.28,-10704.14,10868.34,0.0103461565484954,0.009679028932729683,11617.440948238036,10868.34
2025-11-30,202301,NRP-M,11383000.27,-527805.4,-163363.4,154920.48,0.013627184982623,0.013609810799029351,155118.25033653755,154920.48
2025-11-30,202301,NRP-S,4566429.89,-357561.33,0.0,68042.1,0.0150574820476038,0.014900502501747598,68758.93609031639,68042.1
2025-11-30,202404,NON PRIME,1332056.02,-98421.67,-28714.25,25967.23,0.0203782482127001,0.019494097553044352,27144.968208781407,25967.23
2025-11-30,202404,NRP-L,297940.9,-15072.26,-4395.62,3830.0,0.0130320640429038,0.012854898404347975,3882.784889800397,3830.0
2025-11-30,202404,NRP-M,2867634.87,-114067.65,-41893.14,41053.6,0.0144491601159043,0.014316188029893777,41434.91539058041,41053.6
2025-11-30,202404,NRP-S,1098398.18,-53600.85,0.0,16952.73,0.0157142983056292,0.01543404778766112,17260.556658880196,16952.73
2025-11-30,202405,NON PRIME,1638213.44,-101726.22,-34931.35,32090.01,0.0204444422858944,0.019588418222231164,33492.36012605653,32090.01
2025-11-30,202405,NRP-L,454240.21,-16748.42,-5973.29,5727.06,0.0128960340264595,0.012607998750264755,5857.897204346109,5727.06
2025-11-30,202405,NRP-M,2644391.54,-71729.93,-38628.78,37781.95,0.0144698485913142,0.014287577852408345,38263.945199952184,37781.95
2025-11-30,202405,NRP-S,970538.91,-50256.6,0.0,15553.57,0.0162944280018955,0.01602570472934465,15814.376392033138,15553.57
2025-11-30,202405,PRIME,4805.5,-11.24,-49.91,48.55,0.0100747872586797,0.010103006971178857,48.414390171585296,48.55
2025-11-30,202406,NON PRIME,2195655.0,-129825.4,-49972.72,46678.94,0.0220533267365067,0.021259687883570053,48421.49711564462,46678.94
2025-11-30,202406,NRP-L,256084.84,-6110.03,-3976.68,3833.42,0.0150910573642255,0.014969335943509972,3864.591010548509,3833.42
2025-11-30,202406,NRP-M,2469305.57,-85285.45,-34272.33,34658.83,0.0142058423371304,0.014035861102439422,35078.56560961791,34658.83
2025-11-30,202406,NRP-S,1161786.5,-61800.26,0.0,18960.87,0.0165934440272594,0.016320442697518003,19278.0392593756,18960.87
2025-11-30,202407,NON PRIME,2355214.7,-147008.58,-56798.2,51784.08,0.0227911208357712,0.021986989126723776,53677.98282188462,51784.08
2025-11-30,202407,NRP-L,452413.6,-19332.08,-6843.24,6544.47,0.0146100311036824,0.01446567919266795,6609.776767728928,6544.47
2025-11-30,202407,NRP-M,4221786.85,-122037.88,-62735.77,60119.37,0.014383807167615,0.014240266535483668,60725.36795317275,60119.37
2025-11-30,202407,NRP-S,1132571.65,-74647.05,0.0,18792.97,0.0168481486882262,0.016593184192805817,19081.73555926968,18792.97
2025-11-30,202407,PRIME,2907.35,-162.4,-30.3,29.15,0.0100326772519103,0.010026312621459404,29.16850420834141,29.15
2025-11-30,202408,NON PRIME,2451225.66,-172510.38,-57450.8,51402.36,0.0219488944329521,0.02097006442075186,53801.693242683345,51402.36
2025-11-30,202408,NRP-L,551065.87,-23744.89,-8743.64,8346.17,0.0152851171799328,0.015145503386010823,8423.106396811616,8346.17
2025-11-30,202408,NRP-M,2892677.47,-84078.88,-44981.71,44104.53,0.015367199085322,0.015246957345714728,44452.35057111556,44104.53
2025-11-30,202408,NRP-S,1277215.85,-62355.9,0.0,21814.62,0.0172865882822319,0.017079822490458443,22078.70454649086,21814.62
2025-11-30,202409,NON PRIME,2393803.29,-173089.32,-58803.96,52776.11,0.0228671292520501,0.022046970283844836,54739.409236412765,52776.11
2025-11-30,202409,NRP-L,592389.67,-14379.5,-9169.93,8932.53,0.0152260554162157,0.015078807839441224,9019.757943413731,8932.53
2025-11-30,202409,NRP-M,2934372.54,-99965.99,-45933.47,44427.25,0.0153020232471114,0.015140289582998892,44901.836822765326,44427.25
2025-11-30,202409,NRP-S,1153016.9,-73776.93,0.0,19229.93,0.0168704099210221,0.01667792553604375,19451.86774886614,19229.93
2025-11-30,202409,PRIME,9695.8,-443.09,-100.77,97.49,0.0100584740845944,0.010054869118587429,97.52495302941038,97.49
2025-11-30,202410,NON PRIME,3134328.57,-214462.35,-82895.78,72310.17,0.0232185452759837,0.023070386012529632,72774.54981235425,72310.17
2025-11-30,202410,NRP-L,457638.87,-8887.12,-7537.75,7157.61,0.0162671837927962,0.01564030170776359,7444.495609017567,7157.61
2025-11-30,202410,NRP-M,2871518.3,-91581.35,-44309.7,42509.99,0.014701083133057,0.014804011522406109,42214.42924639451,42509.99
2025-11-30,202410,NRP-S,1107566.36,-56506.81,0.0,18885.62,0.0170353264329407,0.01705145685356496,18867.754488743918,18885.62
2025-11-30,202411,NON PRIME,3381111.44,-245768.56,-94761.42,89023.01,0.0247877337506715,0.026329510748098854,83810.09015606952,89023.01
2025-11-30,202411,NRP-L,575610.62,-7825.36,-7771.72,8531.46,0.0141298462448368,0.014821581992354484,8133.289557495182,8531.46
2025-11-30,202411,NRP-M,3182643.41,-84993.12,-47842.02,49659.84,0.0156001288306386,0.015603331445793355,49649.64721798294,49659.84
2025-11-30,202411,NRP-S,1242233.96,-66825.08,0.0,22120.08,0.018017105117717,0.017806693998286764,22381.459838117855,22120.08
2025-11-30,202412,NON PRIME,3630875.13,-252031.48,-84929.51,89721.5,0.0248657154375268,0.024710709343507498,90284.30777177312,89721.5
2025-11-30,202412,NRP-L,50917.8,-969.54,-799.9,769.11,0.0123839943284755,0.015104933834533306,630.5657464184499,769.11
2025-11-30,202412,NRP-M,2619316.83,-81001.0,-42495.52,41203.07,0.0151591788725611,0.01573046434401752,39706.69234987972,41203.07
2025-11-30,202412,NRP-S,1331226.14,-72950.74,0.0,24188.2,0.0177565367675234,0.01816986556468911,23637.96590079825,24188.2
2025-11-30,202501,NON PRIME,4066353.8,-302368.58,-117709.23,110920.81,0.0257099652366611,0.027277707611177364,104545.81483796476,110920.81
2025-11-30,202501,NRP-L,59785.74,-2405.49,-824.43,916.6,0.0171340457193648,0.015331415150167917,1024.371602526057,916.6
2025-11-30,202501,NRP-M,4823142.31,-176973.86,-70346.3,75037.66,0.0156697457214691,0.015557836608806181,75577.41357615907,75037.66
2025-11-30,202501,NRP-S,2101921.79,-106012.18,0.0,37335.13,0.0178913780974928,0.01776237830428505,37606.27747624886,37335.13
2025-11-30,202502,NON PRIME,5598293.31,-368746.67,-169156.1,157290.0,0.0272493175761933,0.028096062726659817,152549.67228886834,157290.0
2025-11-30,202502,NRP-L,125091.34,-1484.11,-1846.39,1983.71,0.0154953262642354,0.015858092174885968,1938.3311261304002,1983.71
2025-11-30,202502,NRP-M,4998254.55,-115693.09,-80111.88,77720.0,0.0157584011264097,0.01554942814987284,78764.50013080241,77720.0
2025-11-30,202502,NRP-S,2312111.75,-132072.33,0.0,43972.04,0.0178644610048735,0.01901812920590884,41304.63019678483,43972.04
2025-11-30,202503,NON PRIME,7106474.93,-422491.57,-197553.6,190965.75,0.0347631873764749,0.0268720781936256,247043.71957781134,190965.75
2025-11-30,202503,NRP-L,78513.58,-1428.67,-1244.89,1238.17,0.0178243636566151,0.01577013810859217,1399.454601902742,1238.17
